vhi,cas,erf,ingredient_risk,allergen_count,ingredient_count,ingredients,target
0.4128028608767108,0.7000902391612915,0.706924237606067,0.1285714285714286,2,5,"wheat flour, sugar, salt, soy lecithin, flavor",2
0.3656076887647827,0.5755680806334571,0.4304266296844119,0.09285714285714287,2,4,"almond paste, sugar, cocoa butter, milk solids",2
0.7582916354753091,0.7055583870857898,0.5145267534634675,0.09285714285714287,2,4,"almond paste, sugar, cocoa butter, milk solids",1
0.6841516816053682,0.3781415074233524,0.5811251724981498,0.31428571428571433,1,4,"unpasteurized cream, egg powder, sulfite, artificial flavor",2
0.5910133360224744,0.5130275272909479,0.3501955002311329,0.09285714285714287,2,4,"almond paste, sugar, cocoa butter, milk solids",1
0.5721846932276156,0.4643344355673786,0.42253061889258947,0.09285714285714287,2,4,"almond paste, sugar, cocoa butter, milk solids",2
0.6742918700872779,0.6361642006015766,0.9711624721915015,0.31428571428571433,1,4,"unpasteurized cream, egg powder, sulfite, artificial flavor",2
0.5077963087671232,0.38724545435042446,0.635515472966609,0.1285714285714286,2,5,"wheat flour, sugar, salt, soy lecithin, flavor",2
0.44877183414674493,0.38510375686175213,0.6431304133214343,0.31428571428571433,1,4,"unpasteurized cream, egg powder, sulfite, artificial flavor",2
0.697767768294935,0.41689805854226114,0.5510754910746783,0.4142857142857143,1,4,"raw milk, sugar syrup, preservative benzoate, color",2
0.7568571800306741,0.5947191097549365,0.6493609838758169,0.08333333333333333,3,4,"wheat gluten, soybean oil, stabilizer, emulsifier",2
0.6520414917641971,0.6762576451677081,0.17942571963175336,0.10833333333333335,0,4,"rice flour, palm oil, salt, spice",0
0.4850019873161984,0.4949715497546633,0.8288870884715671,0.1125,3,4,"corn flour, peanut oil, whey milk powder, salt",2
0.7742901038264665,0.2134260456768391,0.4263252934031295,0.31428571428571433,1,4,"unpasteurized cream, egg powder, sulfite, artificial flavor",2
0.7280207843627139,0.7086694470399851,0.42328048410534375,0.1125,3,4,"corn flour, peanut oil, whey milk powder, salt",1
0.7544356586262877,0.5117391350236771,0.21934900886565717,0.1125,3,4,"corn flour, peanut oil, whey milk powder, salt",0
0.6894889339296775,0.578485147214113,0.651906777894909,0.09285714285714287,2,4,"almond paste, sugar, cocoa butter, milk solids",1
0.6285371443938086,0.6751180787934674,0.43194376126154754,0.1285714285714286,2,5,"wheat flour, sugar, salt, soy lecithin, flavor",1
0.534650307618287,0.47365242120033424,0.2369152779704113,0.10833333333333335,0,4,"rice flour, palm oil, salt, spice",0
0.5155075787635097,0.5524988237455375,0.6057642649593,0.4142857142857143,1,4,"raw milk, sugar syrup, preservative benzoate, color",2
